train-AUCPR,val-AUCPR,train-AUROC,val-AUROC
0.861052,0.666698,0.976876,0.935876
0.861441,0.667229,0.976968,0.935963
0.861924,0.667271,0.977082,0.936031
0.862432,0.667526,0.977172,0.936088
0.862648,0.667272,0.977219,0.936093
0.863083,0.667354,0.977308,0.936144
0.863443,0.667456,0.977374,0.936227
0.863758,0.667536,0.977437,0.936294
0.864353,0.668171,0.97757,0.936399
0.864818,0.668618,0.977655,0.936513
0.865194,0.66898,0.977718,0.936553
0.865479,0.668881,0.977793,0.936559
0.865872,0.669108,0.977887,0.936625
0.866448,0.669048,0.978032,0.936706
0.866888,0.66951,0.978124,0.936727
0.867157,0.669523,0.978167,0.936757
0.867397,0.669719,0.978223,0.936796
0.867745,0.67011,0.97828,0.936884
0.86829,0.671405,0.978388,0.937092
0.868639,0.671737,0.978472,0.937194
0.869155,0.672033,0.978575,0.937254
0.869823,0.672102,0.978693,0.937291
0.870513,0.672182,0.978816,0.937344
0.870815,0.672429,0.978873,0.937428
0.871312,0.672456,0.978972,0.937504
0.871847,0.672423,0.979092,0.937514
0.872262,0.672962,0.979169,0.937602
0.872702,0.673246,0.97928,0.937693
0.873209,0.673234,0.979385,0.937732
0.873622,0.673955,0.979451,0.937888
0.873941,0.67378,0.979513,0.937881
0.87436,0.673843,0.979581,0.937943
0.874857,0.673805,0.979685,0.937937
0.875204,0.674372,0.979752,0.938062
0.875723,0.674823,0.97985,0.938196
0.876044,0.675254,0.979925,0.938315
0.876347,0.675847,0.979975,0.938404
0.876704,0.676339,0.980042,0.938511
0.877039,0.676605,0.980105,0.9386
0.877283,0.676639,0.980149,0.938619
0.87773,0.676602,0.98022,0.938628
0.877963,0.676773,0.980272,0.938717
0.878491,0.677118,0.980376,0.938783
0.87886,0.677408,0.980456,0.938892
0.879082,0.677302,0.980509,0.938883
0.879411,0.677211,0.980604,0.938881
0.879724,0.677396,0.98066,0.938942
0.879903,0.677713,0.980701,0.938971
0.880352,0.677633,0.980779,0.93899
0.880604,0.677728,0.980844,0.939009
0.880893,0.67774,0.9809,0.939041
0.881195,0.677726,0.980965,0.939093
0.88169,0.677994,0.981063,0.939118
0.881856,0.677956,0.981118,0.939173
0.881993,0.677911,0.981153,0.939199
0.882271,0.678143,0.981202,0.939265
0.882654,0.678434,0.981267,0.939336
0.883035,0.678654,0.981345,0.93938
0.883388,0.678695,0.981423,0.939423
0.883685,0.678916,0.981498,0.939489
0.883903,0.67925,0.981543,0.939551
0.884289,0.679296,0.981622,0.939586
0.884583,0.67925,0.981695,0.939593
0.885106,0.679665,0.981796,0.939724
0.885315,0.679515,0.981849,0.939743
0.885754,0.679647,0.981944,0.939765
0.886111,0.679941,0.982005,0.939819
0.886445,0.680271,0.982074,0.939869
0.886884,0.680378,0.982157,0.939916
0.887139,0.68047,0.982213,0.93994
0.887424,0.680784,0.982265,0.939973
